name,ring,quadrant,isNew,description
Bitnami Sealed Secrets,Adopt,Tools,FALSE,"<p>We mentioned some of the emerging criticisms about <strong><a href=""https://www.langchain.com/"">LangChain</a></strong> in the previous Radar. Since then, we’ve become even more wary of it. While the framework offers a powerful set of features for building applications with large language models (LLMs), we’ve found it to be hard to use and overcomplicated. LangChain gained early popularity and attention in the space, which turned it into a default for many developers. However, as LangChain is trying to evolve and keep up with the fast pace of change, it has become harder and harder to navigate those changes of concepts and patterns as a developer. We’ve also found the API design to be inconsistent and verbose. As such, it often obscures what is actually going on under the hood, making it hard for developers to understand and control how LLMs and the various patterns around them actually work. We’re moving LangChain to the Hold ring to reflect this. In many of our use cases, we’ve found that an implementation with minimum use of specialized frameworks is sufficient. Depending on your use case, you may also want to consider other frameworks such as <a href=""/radar/languages-and-frameworks/semantic-kernel"">Semantic Kernel</a>, <a href=""https://haystack.deepset.ai/"">Haystack</a> or <a href=""/radar/tools/litellm"">LiteLLM</a>.</p>"
Cert-Manager,Adopt,Tools,,
Cloud Composer,Adopt,Tools,,
Elasticsearch,Adopt,Tools,,
Fluent Bit,Adopt,Tools,,
Flux v2,Adopt,Tools,,
Grafana,Adopt,Tools,,
Helm,Adopt,Tools,,
GKE,Adopt,Tools,,
Kibana,Adopt,Tools,,
Kyverno,Adopt,Tools,,
Kyverno Policies,Adopt,Tools,,
Kyverno Policy Reporter,Adopt,Tools,,
Nginx Ingress Controller,Adopt,Tools,,
Azure DevOps,Adopt,Tools,,
Prometheus Adapter,Adopt,Tools,,
Prometheus Elasticsearch Exporter,Adopt,Tools,,
Prometheus Stack,Adopt,Tools,,
SonarQube,Adopt,Tools,,
Terraform,Adopt,Tools,,
Terraform Provider: Google,Adopt,Tools,,
Terraform Provider: Google-Beta,Adopt,Tools,,
Terraform Provider: Acme,Adopt,Tools,,
Terraform Provider: TLS,Adopt,Tools,,
Terraform Module: Project Factory,Adopt,Tools,,
Thanos,Adopt,Tools,,
Google Kubernetes Engine,Adopt,Platforms,,
Google Cloud Composer,Adopt,Platforms,,
Google Cloud SQL,Adopt,Platforms,,
Google BigQuery,Adopt,Platforms,,
Google Cloud Storage,Adopt,Platforms,,
Google Kubernetes Engine Enterprise,Trial,Platforms,,
